ticker,base,quote,exchange,price,ask,bid,spread,volume
zec-btc,zec,btc,binance,0.008876,0.008881,0.008876,4.999999999999796e-06,41457.334
zec-eth,zec,eth,binance,0.3272,0.32849,0.32657,0.0019199999999999773,2064.83
bnt-btc,bnt,btc,binance,8.606e-05,8.606e-05,8.543e-05,6.29999999999999e-07,213705.0
ast-btc,ast,btc,binance,4.85e-06,4.86e-06,4.84e-06,1.999999999999981e-08,9237480.0
ast-eth,ast,eth,binance,0.0001791,0.0001816,0.0001783,3.299999999999999e-06,1271505.0
dash-btc,dash,btc,binance,0.017163,0.017202,0.017116,8.599999999999927e-05,22285.85
dash-eth,dash,eth,binance,0.63275,0.63686,0.62978,0.007079999999999975,1005.759
oax-btc,oax,btc,binance,2.396e-05,2.396e-05,2.387e-05,9.000000000000083e-08,5082616.0
icn-btc,icn,btc,binance,0.0,0.0,0.0,0.0,0.0
btg-btc,btg,btc,binance,0.003197,0.003222,0.003221,1.0000000000001327e-06,29107.27
btg-eth,btg,eth,binance,0.118154,0.118788,0.117269,0.0015190000000000065,2738.9
evx-btc,evx,btc,binance,9.172e-05,9.229e-05,9.171e-05,5.799999999999978e-07,2308413.0
evx-eth,evx,eth,binance,0.0033828,0.0034388,0.0033828,5.600000000000006e-05,188953.0
req-btc,req,btc,binance,2.86e-06,2.86e-06,2.85e-06,1.0000000000000328e-08,21467433.0
req-eth,req,eth,binance,0.00010472,0.00010565,0.00010476,8.9e-07,5464135.0
vib-btc,vib,btc,binance,5.85e-06,5.87e-06,5.83e-06,3.999999999999962e-08,28574207.0
vib-eth,vib,eth,binance,0.00021285,0.0002167,0.00021439,2.3099999999999965e-06,4173245.0
hsr-eth,hsr,eth,binance,0.0,0.0,0.0,0.0,0.0
trx-btc,trx,btc,binance,3.5e-06,3.51e-06,3.5e-06,9.999999999999904e-09,586134290.0
trx-eth,trx,eth,binance,0.00012937,0.00012954,0.00012903,5.10000000000007e-07,69886096.0
